afg,land-use_change_and_forestry,2001,0.121902	
afg,land-use_change_and_forestry,2002,0.121902	
afg,land-use_change_and_forestry,2003,0.121902	
afg,land-use_change_and_forestry,2004,0.121902	
afg,land-use_change_and_forestry,2005,0.121902	
afg,land-use_change_and_forestry,2006,0.121902	
afg,land-use_change_and_forestry,2007,0.121902	
afg,land-use_change_and_forestry,2008,0.121902	
afg,land-use_change_and_forestry,2009,0.121902	
afg,land-use_change_and_forestry,2010,0.121902	
afg,land-use_change_and_forestry,2011,-0.24622	
afg,land-use_change_and_forestry,2012,-0.24622	
afg,land-use_change_and_forestry,2013,-0.24622	
afg,land-use_change_and_forestry,2014,-0.24622	
afg,land-use_change_and_forestry,2015,-0.24622	
afg,land-use_change_and_forestry,2016,0.154657	
afg,land-use_change_and_forestry,2017,0.154657	
afg,land-use_change_and_forestry,2018,0.154657	
afg,land-use_change_and_forestry,2019,0.154657	
afg,total_including_lucf,2001,12.37286	
afg,total_including_lucf,2002,15.0079	
afg,total_including_lucf,2003,15.64843	
afg,total_including_lucf,2004,15.43621	
afg,total_including_lucf,2005,16.34796	
afg,total_including_lucf,2006,16.86647	
afg,total_including_lucf,2007,17.26435	
afg,total_including_lucf,2008,20.66009	
afg,total_including_lucf,2009,22.75443	
afg,total_including_lucf,2010,27.2378	
afg,total_including_lucf,2011,29.16684	
afg,total_including_lucf,2012,28.55385	
afg,total_including_lucf,2013,26.76898	
afg,total_including_lucf,2014,26.5178	
afg,total_including_lucf,2015,26.83985	
afg,total_including_lucf,2016,27.04866	
afg,total_including_lucf,2017,26.68159	
afg,total_including_lucf,2018,27.84424	
afg,total_including_lucf,2019,28.79116	
ago,land-use_change_and_forestry,2001,43.76257	
ago,land-use_change_and_forestry,2002,44.95566	
ago,land-use_change_and_forestry,2003,45.86366	
ago,land-use_change_and_forestry,2004,47.17587	
ago,land-use_change_and_forestry,2005,47.90803	
ago,land-use_change_and_forestry,2006,46.90927	
ago,land-use_change_and_forestry,2007,47.0057	
ago,land-use_change_and_forestry,2008,47.30087	
ago,land-use_change_and_forestry,2009,48.65482	
ago,land-use_change_and_forestry,2010,49.23118	
ago,land-use_change_and_forestry,2011,47.5011	
ago,land-use_change_and_forestry,2012,48.27883	
ago,land-use_change_and_forestry,2013,47.00393	
ago,land-use_change_and_forestry,2014,47.51595	
ago,land-use_change_and_forestry,2015,48.46792	
ago,land-use_change_and_forestry,2016,47.61047	
ago,land-use_change_and_forestry,2017,50.13404	
ago,land-use_change_and_forestry,2018,44.86289	
ago,land-use_change_and_forestry,2019,48.61287	
ago,total_including_lucf,2001,101.5174	
ago,total_including_lucf,2002,105.1627	
ago,total_including_lucf,2003,111.5871	
ago,total_including_lucf,2004,114.6098	
ago,total_including_lucf,2005,114.8677	
ago,total_including_lucf,2006,112.7677	
ago,total_including_lucf,2007,117.2029	
ago,total_including_lucf,2008,119.9849	
ago,total_including_lucf,2009,122.4528	
ago,total_including_lucf,2010,126.9599	
ago,total_including_lucf,2011,126.6533	
ago,total_including_lucf,2012,125.6828	
ago,total_including_lucf,2013,128.0965	
ago,total_including_lucf,2014,129.9071	
ago,total_including_lucf,2015,135.8284	
ago,total_including_lucf,2016,133.5219	
ago,total_including_lucf,2017,131.1471	
ago,total_including_lucf,2018,120.0982	
ago,total_including_lucf,2019,128.2916	
alb,land-use_change_and_forestry,2001,-1.1166	
alb,land-use_change_and_forestry,2002,-1.1166	
alb,land-use_change_and_forestry,2003,-1.11556	
alb,land-use_change_and_forestry,2004,-1.11667	
alb,land-use_change_and_forestry,2005,-1.11667	
alb,land-use_change_and_forestry,2006,-1.11667	
alb,land-use_change_and_forestry,2007,-1.11015	
alb,land-use_change_and_forestry,2008,-1.11667	
alb,land-use_change_and_forestry,2009,-1.11536	
alb,land-use_change_and_forestry,2010,-1.11667	
alb,land-use_change_and_forestry,2011,-0.84196	
alb,land-use_change_and_forestry,2012,-0.84037	
alb,land-use_change_and_forestry,2013,-0.84448	
alb,land-use_change_and_forestry,2014,-0.84448	
alb,land-use_change_and_forestry,2015,-0.84415	
alb,land-use_change_and_forestry,2016,-0.23503	
alb,land-use_change_and_forestry,2017,-0.23309	
alb,land-use_change_and_forestry,2018,-0.23788	
alb,land-use_change_and_forestry,2019,-0.23788	
alb,total_including_lucf,2001,6.997748	
alb,total_including_lucf,2002,7.634384	
alb,total_including_lucf,2003,7.97169	
alb,total_including_lucf,2004,8.048142	
alb,total_including_lucf,2005,7.829283	
alb,total_including_lucf,2006,7.728421	
alb,total_including_lucf,2007,7.752033	
alb,total_including_lucf,2008,7.483227	
alb,total_including_lucf,2009,7.523443	
